Testtype,Dronetype,Synsrekkevidde,P-verdi
cooperative_flock,polygon,20,0.0
cooperative_flock,polygon,30,0.0
cooperative_flock,polygon,40,0.0
cooperative_flock,circle,20,0.0
cooperative_flock,circle,30,0.0
cooperative_flock,circle,40,0.0
cooperative_flock,v,20,0.3688
cooperative_flock,v,30,0.0
cooperative_flock,v,40,0.0
divided_flock,polygon,20,0.0
divided_flock,polygon,30,0.0
divided_flock,polygon,40,0.0
lone_sheep,polygon,20,0.0
lone_sheep,polygon,30,0.0
lone_sheep,polygon,40,0.0
right_angle,polygon,20,0.1513
right_angle,polygon,30,0.0
right_angle,polygon,40,0.0
right_angle,circle,20,0.0
right_angle,circle,30,0.0
right_angle,circle,40,0.0
right_angle,v,20,0.4673
right_angle,v,30,0.0
right_angle,v,40,0.0
